gene,log2FoldChange
SMU_1420,-2.604980394
SMU_1421,-2.082654261
SMU_1422,-2.234008632
SMU_1423,-1.635324774
SMU_1424,-2.346444042
SMU_1425,-1.946343807
SMU_1426c,-1.584962501
SMU_1427c,-3.691299064
SMU_1428c,-5.303780748
SMU_1429,-1
SMU_1430,-1.822617314
SMU_1431c,-2.47941752
SMU_1432c,-1.70357817
SMU_1434c,-1.810142333
SMU_1435c,-2.806623888
SMU_1436c,-1.844402665
SMU_1437,-1.932876919
SMU_1438c,-1.983212707
SMU_143c,-4.754887502
SMU_1442c,-1.75191331
SMU_1443c,-3.017708586
SMU_1444c,-3.440572591
SMU_1445c,-2.263192172
SMU_1446c,-2.26268555
SMU_1447c,-2.509441323
SMU_1449,-3.488724736
SMU_144c,-1.250814317
SMU_145,-2.549616311
SMU_1450,-4.480911346
SMU_1451,-5.203140907
SMU_1452,-5.786596362
SMU_1453c,-3.046635882
SMU_1454c,-2.951438103
SMU_1455,-5.096332595
SMU_1456c,-3.011972642
SMU_1457,
SMU_1459c,-3.440177062
SMU_1460,
SMU_1461,
SMU_1462c,-2.476874533
SMU_1463c,-2.631009868
SMU_1464c,-5.087462841
SMU_1465c,0
SMU_1466,-3.198991989
SMU_1467,
SMU_1470c,-2.295890234
SMU_1471c,-2.273159577
SMU_1472,-3.566993135
SMU_1473c,-3.441001298
SMU_1474c,-1
SMU_1475c,-2.355408554
SMU_1476c,-4.011150125
SMU_1477,-3.64718165
SMU_1479,-4.762880293
SMU_148,-2.176609613
SMU_1480,-2.230315151
SMU_1482c,-1.605671398
SMU_1483c,-1.908235862
SMU_1484c,-0.187128581
SMU_1485c,-2.370788527
SMU_1486c,-2.596087898
SMU_1487,-2.066262676
SMU_1488c,-1.699139641
SMU_1489,-2.038315192
SMU_149,-2.101298282
SMU_1490,-1.530040704
SMU_1491,-2.43506707
SMU_1492,-1.911803043
SMU_1493,-2.869905687
SMU_1494,-3.222392421
SMU_1495,-2.155732117
SMU_1496,-2.870606478
SMU_1498,-3.795065583
SMU_1499,-9.315574155
SMU_15,-2.070389328
SMU_150,-2.070389328
SMU_1500,-9.337436071
SMU_1502c,-2.27414869
SMU_1504c,-0.219764561
SMU_1505c,
SMU_1506c,-0.676790873
SMU_1507c,-1.261112768
SMU_1508c,-0.654450835
SMU_1509,-0.762115886
SMU_151,-2.76225245
SMU_1510,-0.321928095
SMU_1511c,-2.120752159
SMU_1512,
SMU_1513,-7.086506844
SMU_1514,-6.26052755
SMU_1515,-3.408458059
SMU_1516,-4.203375195
SMU_1517,-3.020659471
SMU_1519,-3.782970763
SMU_152,-2.778094893
SMU_1520,-4.128112262
SMU_1521,-4.34770295
SMU_1522,-5.244540462
SMU_1523,-1.149485469
SMU_1524c,-2.353146825
SMU_1525,-1.647071366
SMU_1526c,-1.036341847
SMU_1527,-3.298469122
SMU_1528,
SMU_1529,-3.459431619
SMU_153,-1.674904626
SMU_1530,-1.169925001
SMU_1531,-1.469485283
SMU_1532,-4.209453366
SMU_1533,-5.017921908
SMU_1534,
SMU_1535,-2.727143011
SMU_1536,-3.468974389
SMU_1537,-3.952233581
SMU_1538,-4.024240867
SMU_1539,-2.444016482
SMU_154,
SMU_1541,-2.574665397
SMU_1542c,-5.823656734
SMU_1543,0
SMU_1545c,-1.710970386
SMU_1546,-8.412922627
SMU_1547c,-2.538647308
SMU_1548c,-2.714364531
SMU_155,-3.490833718
SMU_1550c,-2.086893933
SMU_1551c,-2.493013854
SMU_1552c,-2.672236322
SMU_1553c,-2.669026766
SMU_1554c,-2.179114173
SMU_1555c,-3.178819304
SMU_1556,-2.724513853
SMU_1557c,-4.970616193
SMU_1558c,-3.519573854
SMU_156,-3.006614844
SMU_1560,-2.376653943
SMU_1561,-2.752398098
SMU_1562,-2.296635193
SMU_1563,-2.132419691
SMU_1564,-1.539697428
SMU_1565,-1.642081079
SMU_1566,-7.831985787
SMU_1568,-1.625595878
SMU_1569,-1.784992505
SMU_157,-4.459431619
SMU_1570,-1.862023544
SMU_1571,-1.704823211
SMU_1572,-1.978338806
SMU_1573,1
SMU_1574c,-1.675428978
SMU_1575c,-3.351021006
SMU_1576c,-2.30321542
SMU_1577c,-2.907540528
SMU_1578,-5.199672345
SMU_1579,-2.519274598
SMU_158,-1.86507042
SMU_1581,1.584962501
SMU_1582c,-2.015653264
SMU_1584c,-2.049056208
SMU_1585c,-3.144855821
SMU_1586,-4.285402219
SMU_1587c,-2.542110618
SMU_1588c,-3.22881869
SMU_1589c,-4.981091537
SMU_159,-2.144692828
SMU_1590,-3.87145534
SMU_1591,-4.519636253
SMU_1592,-0.30193662
SMU_1593c,-2.319216261
SMU_1595,-1.581635579
SMU_1596,-2.375976738
SMU_1597c,-2.568588288
SMU_1598,-2.637510678
SMU_1599,-2.049769028
SMU_16,-2.203679498
SMU_160,-2.731049211
SMU_1600,-2.420575683
SMU_1601,-2.086938532
SMU_1602,-2.08246216
SMU_1603,-2.953985713
SMU_1604c,-2.180149197
SMU_1605,-2.467300131
SMU_1606,-8.74819285
SMU_1607,-2.514325479
SMU_1609c,-1
SMU_161,-2.245518938
SMU_1610,-1.998772697
SMU_1611c,-3.14102383
SMU_1612c,-2.503787759
SMU_1613c,0.584962501
SMU_1614,-1.887038661
SMU_1615c,-2.05636829
SMU_1616c,-2.447726118
SMU_1617,-1.598259323
SMU_1618,-3.169925001
SMU_1619c,-1.663990747
SMU_1620,-1.600242961
SMU_1621c,-2.66566056
SMU_1622,-1.542651696
SMU_1623c,-4.356748409
SMU_1624,
SMU_1625,
SMU_1626,0
SMU_1627,
SMU_1628,-2.028366113
SMU_1629c,-4.922832139
SMU_162c,-1.146753742
SMU_1631,-2.451857441
SMU_1632,
